species,component,term,estimate,se,z,p
Carabus auratus,state,(Intercept),-2.13532344750864,0.4250607577225424,-5.02357229811007,5.071911933020758e-7
Carabus auratus,state,DOY_z,-0.8541465622601412,0.4801967302159449,-1.7787429786871534,0.07528190947870243
Carabus auratus,det,(Intercept),12.128274434982623,63.30353805796166,0.1915892034956687,0.8480640002086848
Carabus auratus,det,Pitfall8,4.310730155651435,696.2231998492829,0.006191592231607069,0.9950598557157097
Carabus auratus,det,Pitfall6,-9.51973702342174,63.299945076711275,-0.15039092074858929,0.8804562039991027
Carabus auratus,det,Pitfall4,-11.778788015298707,63.32659019950002,-0.18600066698983114,0.8524442382741918
Carabus auratus,det,Pitfall2,-14.635145884896486,63.42740910014453,-0.23073851025176334,0.8175179538162384
Carabus auratus,det,GPD,-9.079211223795296,63.282282684979165,-0.1434716138321344,0.8859177281806752
Carabus auratus,det,eff_z,-1.4782541318641251,1.7509140782284967,-0.8442756559246827,0.39851538633049016
Tachys bistriatus,state,(Intercept),-2.3496474003447565,0.4186790045059338,-5.6120497446904,1.9994393769535242e-8
Tachys bistriatus,state,DOY_z,-0.3797300399050561,0.45100898160703334,-0.8419567134827417,0.3998121833198834
Tachys bistriatus,det,(Intercept),11.211266544512272,47.228577280036426,0.2373831097650127,0.8123595917576395
Tachys bistriatus,det,Pitfall8,4.24436234751879,522.1249117066568,0.008129017122828612,0.9935140541761488
Tachys bistriatus,det,Pitfall6,4.406275947281004,807.6374167631964,0.0054557600425946436,0.995646954889541
Tachys bistriatus,det,Pitfall4,-10.008779172875412,47.27995453100576,-0.2116918104545077,0.8323474776219629
Tachys bistriatus,det,Pitfall2,-13.094112397001805,47.50337613252422,-0.27564593220641925,0.7828200270200945
Tachys bistriatus,det,GPD,-9.714523307554028,47.17375106954053,-0.2059306942378506,0.8368450487364143
Tachys bistriatus,det,eff_z,-1.6318578782976534,2.4255647137700143,-0.6727744137410724,0.50109081784839
