assemblage_id,assemblage_label,scenario,scenario_label,response_key,response,median,p10,p90,n_iter
araneae_pitfall,"Araneae
pitfall traps",rtu_family_level,"Family-level
resolution",bray_mean_change_pct,Δ mean Bray-Curtis,-24.662419749780295,-24.662419749780295,-24.662419749780295,1
araneae_pitfall,"Araneae
pitfall traps",rtu_family_level,"Family-level
resolution",gamma_change_pct,Δ regional richness (γ),-89.96282527881041,-89.96282527881041,-89.96282527881041,1
araneae_pitfall,"Araneae
pitfall traps",rtu_family_level,"Family-level
resolution",gdm_bray_relative_change_pct,Δ explained environmental turnover (GDM),-47.30195273419493,-47.30195273419493,-47.30195273419493,1
araneae_pitfall,"Araneae
pitfall traps",rtu_family_level,"Family-level
resolution",sorensen_mean_change_pct,Δ mean Sørensen,-44.52876515516915,-44.52876515516915,-44.52876515516915,1
araneae_pitfall,"Araneae
pitfall traps",rtu_genus_level,"Genus-level
resolution",bray_mean_change_pct,Δ mean Bray-Curtis,-11.275041514662954,-11.275041514662954,-11.275041514662954,1
araneae_pitfall,"Araneae
pitfall traps",rtu_genus_level,"Genus-level
resolution",gamma_change_pct,Δ regional richness (γ),-54.6875,-54.6875,-54.6875,1
araneae_pitfall,"Araneae
pitfall traps",rtu_genus_level,"Genus-level
resolution",gdm_bray_relative_change_pct,Δ explained environmental turnover (GDM),-46.779406958495365,-46.779406958495365,-46.779406958495365,1
araneae_pitfall,"Araneae
pitfall traps",rtu_genus_level,"Genus-level
resolution",sorensen_mean_change_pct,Δ mean Sørensen,-12.849573074396936,-12.849573074396936,-12.849573074396936,1
araneae_pitfall,"Araneae
pitfall traps",rtu_rare_species_to_genus,"Rare taxa
reported at genus",bray_mean_change_pct,Δ mean Bray-Curtis,-0.19075496848246495,-0.19075496848246495,-0.19075496848246495,1
araneae_pitfall,"Araneae
pitfall traps",rtu_rare_species_to_genus,"Rare taxa
reported at genus",gamma_change_pct,Δ regional richness (γ),-21.561338289962823,-21.561338289962823,-21.561338289962823,1
araneae_pitfall,"Araneae
pitfall traps",rtu_rare_species_to_genus,"Rare taxa
reported at genus",gdm_bray_relative_change_pct,Δ explained environmental turnover (GDM),-4.1238078215356255,-4.1238078215356255,-4.1238078215356255,1
araneae_pitfall,"Araneae
pitfall traps",rtu_rare_species_to_genus,"Rare taxa
reported at genus",sorensen_mean_change_pct,Δ mean Sørensen,-0.90339066697106,-0.90339066697106,-0.90339066697106,1
araneae_pitfall,"Araneae
pitfall traps",rtu_species_only_drop_unresolved,"Drop unresolved
records",bray_mean_change_pct,Δ mean Bray-Curtis,1.668686124906804,1.668686124906804,1.668686124906804,1
araneae_pitfall,"Araneae
pitfall traps",rtu_species_only_drop_unresolved,"Drop unresolved
records",gamma_change_pct,Δ regional richness (γ),-17.472118959107807,-17.472118959107807,-17.472118959107807,1
