site_id,species,psi_hat
RMQS_25_BETTEVILLE_153,Abax ovalis,0.9999999798769796
RMQS_25_RHODES_412,Abax ovalis,0.9999999999982083
RMQS_25_SUSVILLE_1685,Abax ovalis,0.9999989595145132
RMQS_25_THILLOMBOIS_347,Abax ovalis,0.9999999988750548
RMQS_25_VOUZIERS_210,Abax ovalis,0.9999999998156865
RMQS_25_ARFEUILLES_1345,Abax parallelepipedus,0.9999375913222769
RMQS_25_BETTEVILLE_153,Abax parallelepipedus,0.9999326060265651
RMQS_25_CASTELLET-LES-SAUSSES_1948,Abax parallelepipedus,0.9998148935622632
RMQS_25_CLEMONT_903,Abax parallelepipedus,0.9999898149222827
RMQS_25_DINGY-SAINT-CLAIR_1399,Abax parallelepipedus,0.9998826744517152
RMQS_25_HORPS_557,Abax parallelepipedus,0.999843228890531
RMQS_25_MONTPEZAT_2099,Abax parallelepipedus,0.9998310487205472
RMQS_25_OUESSANT_418,Abax parallelepipedus,0.9999800048351957
RMQS_25_PERREUX_803,Abax parallelepipedus,0.9999310468130704
RMQS_25_RHODES_412,Abax parallelepipedus,0.9999891579121987
RMQS_25_SUSVILLE_1685,Abax parallelepipedus,0.9998835757484834
RMQS_25_THILLOMBOIS_347,Abax parallelepipedus,0.9999627119317805
RMQS_25_CANET-DE-SALARS_1882,Acupalpus meridianus,0.9999899292999643
RMQS_25_LESCOUT_2110,Acupalpus meridianus,0.9999936644056947
RMQS_25_MONT-PRES-CHAMBORD_899,Acupalpus meridianus,0.9999944916024963
RMQS_25_NAIZIN_663,Acupalpus meridianus,0.9999972091270942
RMQS_25_PERREUX_803,Acupalpus meridianus,0.9999955622151575
RMQS_25_CANET-DE-SALARS_1882,Agonum muelleri,0.9999976656090375
RMQS_25_CARSAC-DE-GURSON_1657,Agonum muelleri,0.9999992665480167
RMQS_25_CHAMBLAC_325,Agonum muelleri,0.9999991580067276
RMQS_25_CUGNEY_970,Agonum muelleri,0.999999030961507
RMQS_25_DOMPAIRE_647,Agonum muelleri,0.99999869639884
