filename,role
run_all.R,Lance tout le workflow
figures.R,Figures publication-ready uniquement
R/00_config.R,Paramètres et cache
R/functions_taxonomic_uncertainty.R,Fonctions partagées
01_import_clean.R,Import/nettoyage/audit
02_prepare_taxonomy_pools.R,TAXREF/pools de confusion
03_prepare_environment_drivers.R,Variables environnementales/drivers
04_build_scenarios.R,Scénarios taxonomiques
05_compute_alpha_metrics.R,Alpha/couverture/gamma
06_compute_stability.R,Stabilité vs baseline
07_compute_drivers.R,Drivers environnementaux
08_rare_and_inventory_audits.R,Espèces rares/inventaires
