full_wing,method,emmean,SE,df,lower.CL,upper.CL
not_fully_winged,Pitfall4,0.5930304605618693,0.32392911048734335,55.8963089417733,-0.05590408860731377,1.2419650097310524
fully_winged,Pitfall4,0.35605768739790644,0.19939835703934877,56.1781640111049,-0.043357267633716445,0.7554726424295293
not_fully_winged,Pitfall2,0.05853460911837105,0.30122081726629324,52.874782780974655,-0.5456712407398571,0.6627404589765992
fully_winged,Pitfall2,-0.34414227778862333,0.1922709934380952,52.53759039199959,-0.7298683038597749,0.041583748282528255
not_fully_winged,Pitfall6,1.3552028547836035,0.3468171022001843,61.37384744662738,0.661784621878034,2.048621087689173
fully_winged,Pitfall6,0.8325219310777635,0.20623911796310726,59.258717609177594,0.41987610422857047,1.2451677579269567
not_fully_winged,Pitfall8,1.3251388563325839,0.36737428647240183,65.32818196028109,0.5915116094210491,2.0587661032441185
fully_winged,Pitfall8,1.3621345351875733,0.21712589031460844,63.610344431851864,0.9283245268412682,1.7959445435338783
not_fully_winged,Pitfall10,1.8142622124466607,0.4209018936316539,62.6120481479546,0.9730548887568298,2.6554695361364917
fully_winged,Pitfall10,1.718169037992426,0.23897985790627807,69.63388834668429,1.2414946790723773,2.1948433969124745
not_fully_winged,GPD,0.7809744387244952,0.30858671858655373,52.00718926047522,0.1617519232725978,1.4001969541763928
fully_winged,GPD,1.0250445026577224,0.20016911507853977,57.49461983608031,0.6242874834269418,1.425801521888503
