IL_GPD_m,species,method,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad,p_clip,logit_p,se_p,se_logit,weight
0.8,Abax parallelepipedus,Pitfall10,0.9999943405479873,3.3070011116553505e-162,1,64,11,6,NA,FALSE,0.99999,11.51291546492478,0.25510204081632654,25510.459186340613,1.5366092673396777e-9
0.8,Abax parallelepipedus,Pitfall8,0.7862657044032957,0.2851257070285463,0.9713712937250906,64,11,6,NA,FALSE,0.7862657044032957,1.3025611473939103,0.17506264966748578,1.0417174768382198,0.9215100994019003
0.8,Abax parallelepipedus,Pitfall6,0.8209307099409987,0.34162385362548725,0.9759058700166314,64,11,6,NA,FALSE,0.8209307099409987,1.522665882501807,0.16180663683447558,1.1006993676370127,0.825396391845461
0.8,Abax parallelepipedus,Pitfall4,0.867620159284759,0.4422105226750687,0.9818782213036901,64,11,6,NA,FALSE,0.867620159284759,1.880078642921705,0.13767033128281156,1.198640282677272,0.6960208702062362
0.8,Abax parallelepipedus,Pitfall2,0.8880404878516374,0.49582452029092355,0.9846090103091879,64,11,6,NA,FALSE,0.8880404878516374,2.070880029116932,0.12468992092302662,1.25411564413016,0.6358063034726384
0.8,Abax parallelepipedus,GPD,0.7126347253549077,0.3426823804207726,0.9218529211122681,64,11,6,NA,FALSE,0.7126347253549077,0.9082148420099516,0.1477475869110958,0.7214714152409734,1.9211520653685281
0.8,Agonum muelleri,Pitfall10,0.7187245712554945,0.39373853755709526,0.9095301885272733,64,15,6,NA,FALSE,0.7187245712554945,0.9381438496175241,0.13157950279851482,0.6508695485037774,2.3605439655453244
0.8,Agonum muelleri,Pitfall8,0.7185011949152721,0.3935096952673965,0.9094272300373152,64,15,6,NA,FALSE,0.7185011949152721,0.9370391658306988,0.13161161601273438,0.6507140309936098,2.3616724175870702
0.8,Agonum muelleri,Pitfall6,0.6511582727490222,0.3505250495120918,0.8658787835957737,64,15,6,NA,FALSE,0.6511582727490222,0.6241344194017028,0.13146778930706174,0.5787678113171958,2.985322547504542
0.8,Agonum muelleri,Pitfall4,0.5569061077328744,0.2751330550491391,0.806271560029869,64,15,6,NA,FALSE,0.5569061077328744,0.22861496389901567,0.13549451657671682,0.5490905573093359,3.3167447436599797
0.8,Agonum muelleri,Pitfall2,0.584299928745922,0.30740722180517444,0.8165535507367551,64,15,6,NA,FALSE,0.584299928745922,0.3404504099465911,0.1298842675845869,0.5347374705917601,3.497186273763556
0.8,Agonum muelleri,GPD,0.9182046662926863,0.5899444808503213,0.9887120166668831,64,15,6,NA,FALSE,0.9182046662926863,2.4182001169638188,0.10172641219810252,1.354458501596185,0.5450904748050924
0.8,Amara aenea,Pitfall10,0.857771842320515,0.6365158358855779,0.9540664572239276,64,31,6,NA,FALSE,0.857771842320515,1.7969056336936362,0.08100781156590553,0.6640022171800146,2.2680934319667068
0.8,Amara aenea,Pitfall8,0.7060586838695081,0.49531498170127614,0.8546288368680641,64,31,6,NA,FALSE,0.7060586838695081,0.8763182132504036,0.09166169774662959,0.4416583683832398,5.126572134552656
0.8,Amara aenea,Pitfall6,0.5749992451113985,0.37085976265676207,0.7564079150298333,64,31,6,NA,FALSE,0.5749992451113985,0.30227778281543366,0.0983541205033345,0.402471917873532,6.173462771474669
0.8,Amara aenea,Pitfall4,0.3339495711520957,0.17617052263659258,0.5403521439919196,64,31,6,NA,FALSE,0.3339495711520957,-0.69037538966188,0.0929034748355426,0.4176802649583904,5.732077961917289
0.8,Amara aenea,Pitfall2,0.28417930711324185,0.14792228186206435,0.4758543256165836,64,31,6,NA,FALSE,0.28417930711324185,-0.9238243046587897,0.08365613361084674,0.41124543377124523,5.912863078225602
0.8,Amara aenea,GPD,0.6753194804814141,0.4782573262436893,0.8251611459203912,64,31,6,NA,FALSE,0.6753194804814141,0.7323442013303362,0.0884958723665056,0.40360589873072455,6.138821285231668
0.8,Amara communis,Pitfall10,0.7473834250728486,0.2567686905061382,0.9620297604052068,64,7,6,NA,FALSE,0.7473834250728486,1.0847055149706215,0.17991353823955833,0.9529246031564749,1.101242389473368
0.8,Amara communis,Pitfall8,0.522611260688334,0.13134160038704762,0.887969071714456,64,7,6,NA,FALSE,0.522611260688334,0.09050677419370654,0.19301721207331846,0.7736510237745164,1.67074354102104
0.8,Amara communis,Pitfall6,0.2676765127626335,0.035684644903942825,0.7830979021126435,64,7,6,NA,FALSE,0.2676765127626335,-1.0064431292792184,0.19066664724711752,0.9726609961282033,1.057004893983091
0.8,Amara communis,Pitfall4,0.24666013089140812,0.032150731241555146,0.7634397016922636,64,7,6,NA,FALSE,0.24666013089140812,-1.1165050785755655,0.18655330878844606,1.0039522245909136,0.9921421653337543
0.8,Amara communis,Pitfall2,0.18162026335528628,0.02286101532737777,0.6779526801620755,64,7,6,NA,FALSE,0.18162026335528628,-1.505408412315111,0.16711522062109638,1.1243378678001288,0.7910543517570626
0.8,Amara communis,GPD,0.898459334588074,0.3489545367031973,0.9932004899986716,64,7,6,NA,FALSE,0.898459334588074,2.1802220832785606,0.1643484574733353,1.8014706962252884,0.30813823877546875
0.8,Amara convexior,Pitfall10,0.9998591246154086,2.7150199980235047e-19,1,64,13,6,NA,FALSE,0.9998591246154086,8.867493970280796,0.25510204081632654,1811.0898807331455,3.0487372142389256e-7
0.8,Amara convexior,Pitfall8,0.9999872722586741,1.9182904529894256e-70,1,64,13,6,NA,FALSE,0.9999872722586741,11.27171386254682,0.25510204081632654,20043.24893150726,2.4892227375899547e-9
0.8,Amara convexior,Pitfall6,0.90009929312372,0.5255338095016522,0.9865393484149054,64,13,6,NA,FALSE,0.90009929312372,2.1983283214637876,0.11760345380440133,1.3078595095958516,0.5846255761688144
0.8,Amara convexior,Pitfall4,0.7876617230995854,0.4306997538636919,0.947884629660376,64,13,6,NA,FALSE,0.7876617230995854,1.3108880635433096,0.13193491729507248,0.78884507636255,1.6070025341083138
0.8,Amara convexior,Pitfall2,0.4417562600354292,0.17144634160799627,0.7516322137102913,64,13,6,NA,FALSE,0.4417562600354292,-0.2340373948892074,0.14800660002609567,0.6001703108978105,2.776201496196848
0.8,Amara convexior,GPD,0.8461735762435264,0.5028205791984138,0.96765815228354,64,13,6,NA,FALSE,0.8461735762435264,1.704899663152382,0.11858101354212403,0.911013379568494,1.204898571406756
