"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MAX","T2M_MIN","STATION","sampl_date","Altitude","T2M_MEAN","degree_days","DD_cum","T30_mean","T30_max","T30_min","T30_sd","T360_sd","T360_mean"
"1",3.65039504410087,49.7054460263859,2024,5,2,123,2024-05-02,16.84,9.11,137,2024-05-03,97,12.975,2.975,74.87,10.5425,15.2533333333333,5.83166666666667,3.00524206806048,6.54089843521766,12.1668333333333
"2",0.555290562591357,49.5559367282316,2024,4,2,93,2024-04-02,13.53,8.34,152,2024-04-03,144,10.935,0.934999999999999,26.145,9.5155,13.1383333333333,5.89266666666667,3.75784100805539,5.68816612004187,12.7629166666667
"3",1.6591608703299,49.5671766642783,2024,4,3,94,2024-04-03,15.71,9.25,157,2024-04-04,164,12.48,2.48,25.995,9.53383333333333,13.6343333333333,5.43333333333333,4.41725018546593,6.13902847200779,12.2523194444444
"4",5.84561377272516,49.3740703250416,2024,6,3,155,2024-06-03,17.96,8.78,215,2024-06-04,365,13.37,3.37,149.205,13.4785,17.5056666666667,9.45133333333333,3.6489014970031,6.87807365579089,10.9891666666667
"5",-0.971023266931689,49.2362523222868,2024,3,31,91,2024-03-31,15.25,5.37,223,2024-04-02,39,10.31,0.31,38.075,9.5745,13.4296666666667,5.71933333333333,3.72394678572631,5.63057974804502,13.3135416666667
"6",-0.971023266931689,49.2362523222868,2024,4,1,92,2024-04-01,13.44,5.23,223,2024-04-02,39,9.335,0,38.075,9.5745,13.4296666666667,5.71933333333333,3.72394678572631,5.63057974804502,13.3135416666667
"7",3.85678097784408,49.1281765661728,2024,6,5,157,2024-06-05,19.32,10.8,288,2024-06-06,193,15.06,5.06,206.725,14.4498333333333,18.7056666666667,10.194,3.3699906001084,6.70894527562649,12.179875
"8",4.51525817503008,49.1161109411299,2024,4,14,105,2024-04-14,18.57,8.6,291,2024-04-17,143,13.585,3.585,53.075,10.4421666666667,14.6143333333333,6.27,3.5057727714042,6.88022321400855,12.4164583333333
"9",4.51525817503008,49.1161109411299,2024,4,15,106,2024-04-15,13.32,5.13,291,2024-04-17,143,9.225,0,53.075,10.4421666666667,14.6143333333333,6.27,3.5057727714042,6.88022321400855,12.4164583333333
"10",4.51525817503008,49.1161109411299,2024,4,16,107,2024-04-16,11.19,3.92,291,2024-04-17,143,7.555,0,53.075,10.4421666666667,14.6143333333333,6.27,3.5057727714042,6.88022321400855,12.4164583333333
"11",2.33579524769974,48.844838275277,2024,4,14,105,2024-04-14,19.38,8.49,391,2024-04-22,47,13.935,3.935,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"12",2.33579524769974,48.844838275277,2024,4,15,106,2024-04-15,14.45,5.21,391,2024-04-22,47,9.83,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"13",2.33579524769974,48.844838275277,2024,4,16,107,2024-04-16,13.15,4.24,391,2024-04-22,47,8.695,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"14",2.33579524769974,48.844838275277,2024,4,17,108,2024-04-17,10.85,4,391,2024-04-22,47,7.425,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"15",2.33579524769974,48.844838275277,2024,4,18,109,2024-04-18,13.25,3.53,391,2024-04-22,47,8.39,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"16",2.33579524769974,48.844838275277,2024,4,19,110,2024-04-19,13.47,3.74,391,2024-04-22,47,8.605,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"17",2.33579524769974,48.844838275277,2024,4,20,111,2024-04-20,12,1.63,391,2024-04-22,47,6.815,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"18",2.33579524769974,48.844838275277,2024,4,21,112,2024-04-21,11.26,1.96,391,2024-04-22,47,6.61,0,78.075,10.648,15.2116666666667,6.08433333333333,2.94892174162053,6.52034297106717,12.9660694444444
"19",4.28350622064533,48.8342724406152,2024,5,30,151,2024-05-30,16.97,10.37,400,2024-05-31,143,13.67,3.67,181.43,13.9276666666667,18.0903333333333,9.765,3.62671467733698,6.91825271111857,12.2376944444444
"20",6.02441183229234,48.7932010535351,2024,3,22,82,2024-03-22,17.49,5.29,408,2024-03-27,274,11.39,1.39,7.625,7.64783333333333,11.6826666666667,3.613,4.15711074587065,7.23428184553277,11.8629027777778
"21",6.02441183229234,48.7932010535351,2024,3,23,83,2024-03-23,8.17,2.98,408,2024-03-27,274,5.575,0,7.625,7.64783333333333,11.6826666666667,3.613,4.15711074587065,7.23428184553277,11.8629027777778
"22",6.02441183229234,48.7932010535351,2024,3,24,84,2024-03-24,8.07,1.38,408,2024-03-27,274,4.725,0,7.625,7.64783333333333,11.6826666666667,3.613,4.15711074587065,7.23428184553277,11.8629027777778
"23",6.02441183229234,48.7932010535351,2024,3,25,85,2024-03-25,11.1,0.17,408,2024-03-27,274,5.635,0,7.625,7.64783333333333,11.6826666666667,3.613,4.15711074587065,7.23428184553277,11.8629027777778
"24",6.02441183229234,48.7932010535351,2024,3,26,86,2024-03-26,14.28,3.31,408,2024-03-27,274,8.795,0,7.625,7.64783333333333,11.6826666666667,3.613,4.15711074587065,7.23428184553277,11.8629027777778
"25",-3.97184170007459,48.5339381716991,2024,3,21,81,2024-03-21,15.51,6.59,423,2024-04-03,122,11.05,1.05,35.47,9.21483333333333,12.15,6.27966666666667,3.31026025921985,4.87621421107648,12.8624027777778
"26",-3.97184170007459,48.5339381716991,2024,3,22,82,2024-03-22,11.91,5.5,423,2024-04-03,122,8.705,0,35.47,9.21483333333333,12.15,6.27966666666667,3.31026025921985,4.87621421107648,12.8624027777778
