world_id,replicate_id,n_regional_species,n_genera,n_families,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,n_observed_species,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis
1,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451
1,2,323,279,43,1.157706093189964,0.3553935523038029,0.8602150537634409,6.488372093023256,1.2090614957354342,0.2114695340501792,202,57.54014598540146,202,0.28485220784852205,0.7170989030978718
1,3,323,279,42,1.157706093189964,0.33196605988379996,0.8494623655913979,6.642857142857143,1.2005416011977081,0.2114695340501792,202,61.27007299270073,202,0.30331719303317195,0.7152565175495685
1,4,323,279,44,1.157706093189964,0.3553935523038029,0.8602150537634409,6.340909090909091,1.332959083317655,0.2114695340501792,202,60.7956204379562,202,0.30096841800968416,0.7271445074315729
1,5,323,279,43,1.157706093189964,0.3477597920754144,0.8566308243727598,6.488372093023256,1.2151272683801804,0.2114695340501792,202,62.54014598540146,202,0.30960468309604683,0.7125443272235191
2,1,905,97,9,9.329896907216495,0.4732339300529294,0,10.777777777777779,2.652771838481015,0.27835051546391754,238,127.81308411214954,238,0.5370297651770989,0.5744197997220489
2,2,905,97,9,9.329896907216495,0.4512282471270632,0,10.777777777777779,2.5489208609786096,0.27835051546391754,238,126.76635514018692,238,0.5326317442864996,0.5720849885117761
2,3,905,97,9,9.329896907216495,0.3848134052991626,0,10.777777777777779,2.687030885038268,0.27835051546391754,238,126.39252336448598,238,0.531061022539857,0.5765360562050172
2,4,905,97,10,9.329896907216495,0.4297668154759037,0,9.7,2.7280332297690846,0.27835051546391754,238,125.5233644859813,238,0.527409094478913,0.5733759112258963
2,5,905,97,10,9.329896907216495,0.47069842664046996,0,9.7,2.7280332297690846,0.27835051546391754,238,122.64485981308411,238,0.5153145370297652,0.5882178495237677
3,1,965,317,42,3.0441640378548898,1.147121508993474,0.5236593059936908,7.5476190476190474,4.723642165637426,0.3028391167192429,547,92.82142857142857,530,0.17513477088948787,0.80480163861468
3,2,965,317,54,3.0441640378548898,1.161616841225233,0.5205047318611987,5.87037037037037,4.588946740932363,0.3028391167192429,547,93.55357142857143,519,0.18025736306083126,0.8051044238867515
3,3,965,317,49,3.0441640378548898,1.2287609822159815,0.5141955835962145,6.469387755102041,4.570306696223098,0.3028391167192429,547,93.73214285714286,521,0.17990814367973676,0.8006244881915887
3,4,965,317,46,3.0441640378548898,1.1794131392597325,0.501577287066246,6.891304347826087,4.554939342674503,0.3028391167192429,547,93.30357142857143,527,0.17704662510165356,0.7964745661445038
3,5,965,317,56,3.0441640378548898,1.1975153345998828,0.5078864353312302,5.660714285714286,4.891264780630629,0.3028391167192429,547,96.28571428571429,525,0.18340136054421768,0.7937190574001695
4,1,182,93,35,1.956989247311828,0.5583083194270289,0.40860215053763443,2.657142857142857,2.716836421050109,0.17204301075268819,41,2.75,41,0.05962059620596206,0.9479552052048774
4,2,182,93,36,1.956989247311828,0.5269254060481996,0.40860215053763443,2.5833333333333335,2.764230313935913,0.17204301075268819,41,2.587719298245614,38,0.06161236424394319,0.9552567463506372
4,3,182,93,33,1.956989247311828,0.5532014824706315,0.3978494623655914,2.8181818181818183,2.585479343163081,0.17204301075268819,41,2.956896551724138,40,0.06805555555555555,0.9496492503636464
4,4,182,93,34,1.956989247311828,0.5480470608204878,0.3870967741935484,2.735294117647059,2.562000914237987,0.17204301075268819,41,2.8275862068965516,39,0.06674806674806674,0.9423900527843488
4,5,182,93,32,1.956989247311828,0.532284400365809,0.40860215053763443,2.90625,2.852654969690807,0.17204301075268819,41,2.536363636363636,38,0.05827067669172932,0.9621756147197329
5,1,682,47,5,14.51063829787234,0.4778615232991751,0,9.4,1.998188405425344,0.3191489361702128,156,50.023622047244096,156,0.32066424389259035,0.7014347216641001
5,2,682,47,4,14.51063829787234,0.4653833930962989,0,11.75,1.8297872340425532,0.3191489361702128,156,47.889763779527556,156,0.3069856652533818,0.7254002327070216
5,3,682,47,5,14.51063829787234,0.46047684139188977,0,9.4,1.998188405425344,0.3191489361702128,156,54.338582677165356,156,0.34832424793054717,0.6964784292399736
5,4,682,47,4,14.51063829787234,0.42721287929207985,0,11.75,1.8297872340425532,0.3191489361702128,156,50.25984251968504,156,0.32217847769028873,0.7000853590456863
5,5,682,47,5,14.51063829787234,0.4447371223227891,0,9.4,1.998188405425344,0.3191489361702128,156,53.70866141732284,156,0.34428629113668485,0.6955402261352096
6,1,259,142,49,1.823943661971831,0.6273258959427028,0.5492957746478874,2.8979591836734695,3.136034047705801,0.2676056338028169,72,29.4125,71,0.41426056338028167,0.46716761837959964
