alpha_q0_spearman,bray_spearman,jaccard_spearman,sorensen_spearman,world_id,replicate_id,scenario
0.9712130137962477,0.9961570717359807,0.8870220379011607,0.8870220379011607,1,1,observed_congeneric_error
0.9414396558047629,0.9963545950574607,0.8742330290503773,0.8742330290503773,1,1,regional_congeneric_error
0.9728726264232608,0.9956434848540592,0.8854624082062038,0.8854624082062038,1,1,rare_weighted_error
0.9956966619355518,0.997328219895069,0.9870250520518871,0.9870250520518871,1,1,mixed_rtu_reporting
0.9945647810170428,0.9938484924517476,0.9868622459181059,0.9868622459181059,1,1,drop_unresolved
0.9999999999999999,1,1,1,1,1,rare_species_to_genus
0.9968963384214038,0.9945165976778287,0.9912838054202687,0.9912838054202687,1,1,difficult_genera_to_genus
0.9823102498998658,0.9574824616083153,0.952997623975832,0.952997623975832,1,1,genus_level
0.4552679704350582,0.4201963243284859,0.2938807859348734,0.2938807859348734,1,1,family_level
0.9622732775441848,0.994859020612761,0.8361565548740145,0.8361565548740145,1,2,observed_congeneric_error
0.9428643183578067,0.9951106242601457,0.8252313842398358,0.8252313842398358,1,2,regional_congeneric_error
0.9590403929661451,0.9941658180436846,0.8300282417136503,0.8300282417136503,1,2,rare_weighted_error
0.9927355349382326,0.9965500317366441,0.9807805877613314,0.9807805877613314,1,2,mixed_rtu_reporting
0.993422248036133,0.9931656956234395,0.9804126600319442,0.9804126600319442,1,2,drop_unresolved
1,1,1,1,1,2,rare_species_to_genus
0.9978357318392823,0.9955427340006076,0.989490260198239,0.989490260198239,1,2,difficult_genera_to_genus
0.9750924425178215,0.941129588934492,0.9287721704998819,0.9287721704998819,1,2,genus_level
0.5357891268413976,0.46786866532529175,0.31519499313759003,0.31519499313759003,1,2,family_level
0.9621722170206876,0.9965160806985318,0.8633259074140663,0.8633259074140663,1,3,observed_congeneric_error
0.9427066188797277,0.9967933683418971,0.855266960136329,0.855266960136329,1,3,regional_congeneric_error
0.961906316744129,0.9961709086335034,0.859625381461061,0.859625381461061,1,3,rare_weighted_error
0.9954351240285724,0.9976483020644107,0.9840449434580848,0.9840449434580848,1,3,mixed_rtu_reporting
0.9952539709695685,0.99437721893357,0.984373862880151,0.984373862880151,1,3,drop_unresolved
0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,3,rare_species_to_genus
0.9955706453823668,0.991334309308729,0.9828210278338264,0.9828210278338264,1,3,difficult_genera_to_genus
0.9860626420726124,0.9645144116899687,0.9438412892744231,0.9438412892744231,1,3,genus_level
0.5163718664250878,0.4248442169759523,0.2815451653477048,0.2815451653477048,1,3,family_level
0.9500018471874208,0.9962068752501804,0.8548692815472793,0.8548692815472793,1,4,observed_congeneric_error
0.9419231372676052,0.9963055760993725,0.8473957278383693,0.8473957278383693,1,4,regional_congeneric_error
0.9494268351998971,0.9955238084000363,0.8457793931972237,0.8457793931972237,1,4,rare_weighted_error
0.991273409172296,0.9971849878562048,0.9829631632154834,0.9829631632154834,1,4,mixed_rtu_reporting
0.991346355408585,0.9931663803350944,0.9830024698369476,0.9830024698369476,1,4,drop_unresolved
0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,4,rare_species_to_genus
0.9954977365395653,0.9918773345381731,0.9906660601851244,0.9906660601851244,1,4,difficult_genera_to_genus
0.9740792219618659,0.9523302871064142,0.9388161599345014,0.9388161599345014,1,4,genus_level
0.5866831007520589,0.4365396616456197,0.3741054192784025,0.3741054192784025,1,4,family_level
0.9504005794720974,0.9972326287814693,0.8624573761893339,0.8624573761893339,1,5,observed_congeneric_error
0.8976411061535421,0.9971378836998523,0.8540649476168833,0.8540649476168833,1,5,regional_congeneric_error
0.9498963539180559,0.996551291705105,0.8592163980023769,0.8592163980023769,1,5,rare_weighted_error
0.9904729070313146,0.9973839033251817,0.9862514699136803,0.9862514699136803,1,5,mixed_rtu_reporting
0.989700857752873,0.9936456575669864,0.9867799006848178,0.9867799006848178,1,5,drop_unresolved
1,1,0.9999999999999999,0.9999999999999999,1,5,rare_species_to_genus
0.9899077976474204,0.9858115921851418,0.98186194815267,0.98186194815267,1,5,difficult_genera_to_genus
0.9728488509328272,0.9612139856609726,0.9542251945190774,0.9542251945190774,1,5,genus_level
0.4768488236754652,0.42638341914176536,0.34061278068592005,0.34061278068592005,1,5,family_level
